,BD,BP,PR,SP,CH,ED,SENT,NAME
118,0,4,0,0,0,0,64,Víctor Paz Estenssoro
119,2,7,0,0,0,0,36,Wálter Guevara
120,1,0,0,1,0,0,23,Festus Mogae
121,0,1,4,0,0,0,66,Ian Khama
122,1,3,0,1,0,0,23,Mokgweetsi Masisi
123,2,5,0,1,0,0,52,Quett Masire
124,1,14,0,4,6,0,107,Seretse Khama
125,2,1,0,1,0,0,66,Arthur da Costa e Silva
126,0,2,0,0,0,0,32,Brazilian Military Junta
127,2,3,0,0,0,0,22,Café Filho
128,1,0,0,0,0,0,6,Carlos Luz
129,2,41,0,21,20,0,500,Dilma Rousseff
130,1,1,0,0,0,0,47,Emílio Garrastazu Médici
131,1,15,0,1,4,0,68,Ernesto Geisel
132,1,13,0,0,0,0,141,Fernando Collor de Mello
133,1,11,0,2,0,0,99,Fernando Henrique Cardoso
134,2,3,0,3,0,0,267,Getúlio Vargas
135,1,2,0,2,0,0,59,Humberto de Alencar Castelo Branco
136,1,0,0,0,0,0,65,Itamar Franco
137,2,7,0,4,12,1,341,Jair Bolsonaro
138,1,10,0,2,32,0,141,José Sarney
139,1,6,0,0,0,0,38,João Figueiredo
140,1,0,0,0,0,0,101,Juscelino Kubitschek
141,2,2,0,1,0,0,83,Jânio Quadros
142,1,2,0,3,1,0,301,Luiz Inácio Lula da Silva
143,1,7,0,15,0,0,152,Michel Temer
144,1,5,0,0,0,0,22,Nereu Ramos
145,1,2,0,0,0,0,16,Pascoal Ranieri Mazzilli
146,2,8,0,1,3,0,77,Georgi Parvanov
147,2,16,0,1,0,0,65,Petar Stoyanov
148,1,7,0,1,0,0,32,Rosen Plevneliev
149,1,5,0,2,0,0,31,Rumen Radev
150,0,0,0,1,2,0,34,Zhelyu Zhelev
151,0,0,0,1,0,0,20,Gilbert Diendéré
152,2,2,0,1,0,0,32,Michel Kafando
153,1,3,0,1,1,0,34,Roch Marc Christian Kaboré
154,0,0,0,0,0,0,19,Domitien Ndayizeye
155,1,1,0,0,0,0,23,Pierre Buyoya
156,1,24,0,0,0,0,92,Pierre Nkurunziza
157,1,0,0,0,0,0,8,Sylvestre Ntibantunganya
158,1,2,0,0,0,0,131,Ahmadou Ahidjo
159,1,1,0,6,0,0,119,Paul Biya
160,1,1,0,1,0,0,22,António Mascarenhas Monteiro
161,1,3,0,1,0,0,19,Aristides Pereira
162,1,9,0,1,0,0,17,Jorge Carlos Fonseca
